# Glossary in tab-separated format -*- coding: utf-8 -*-
&mdash;	—
&ndash;	–
-able	-baar	
-ed	(1): for weak verbs: -de(n) or -te(n) (latter after voiceless consonants); (2) and (3): -d or -t; usually in combination with prefix ge- before the stem.	
-ible	-baar	
-ible	-baar	
-ible	various suffixes, e.g. -ig, -lijk, -baar, -ieus, etc.	
-ish	(1,2) -achtig , -ig, rond (3:  "used separately before the number")	
-ity	-iteit (f)	
-ive	-ief, -ieve	
-less	-loos	
-lessness	-loosheid	
-logy	-logie (f)	
-ship	-schap	
-tion	-tie	
1st	1eers, 1eere	
@	apenstaartje "n, -s"	
a cappella	a cappella	
a cold day in Hell	met Sint Juttemis	
A major	A majeur	
A-bomb	atoombom	
A-flat major	As majeur	
A.K.A.	BBA	
a.m.	's morgens	
AA	ANWB (Netherlands); Touring, VTB-VAB (Belgium)	
Aachen	Aken	
aardvark	aardvarken	
aardwolf	aardwolf	
Aaron	Aaron	
Aaron's rod	koningskaars (f)	
Aaronic	Aaronisch	
abaca	manillahennep (m)	
abactor	runderdief	
abacus	telraam (n), abacus (m)	
abandon	achterlaten, in de steek laten	
abandon	afzien (van), afstand doen (van), terugnemen	
abandon	ongedwongenheid (f)	
abandon	opgeven, prijsgeven	
abandon	verwerpen, afwijzen, verbannen	
abandoned	verlaten	
abandonment	verlatenheid (f)	
abase	vernederen	
abash	beschamen	
abashed	beschaamd	
abate	neerslaan	
abattoir	slachthuis (n)	
abbas	Abbas	
abbess	abdis	
abbey	abdij (f)	
abbot	abt	
abbreviate	afkorten, verkorten, inkorten	
abbreviated	afgekort, ingekort, verkort	
abbreviation	afkorting) (f)	
abbreviation	afkorting) (f), verkorting) (f)	
abbreviatory	afkortend, verkortend	
ABC	ABC (n)	
ABC	ABC (n), alfabet (n)	
abdicate	afstand doen (van)	
abdicate	aftreden, troonsafstand doen, abdiceren	
abdicate	onterven	
abdicate	weigeren, afwijzen	
abdomen	onderbuik (m), abdomen (n)	
Abdon	Abdon	
abduct	ontvoeren, kidnappen	
Abdul	Abdoel, Abdel	
Abdullah	Abdoella, Abdoel, Abdel	
Abel	Abel	
abele	abeel (m)	
abelian	abels, commutatief	
aberrance	afwijking (f)	
abet	bijstaan in	
abhor	verafschuwen, walgen van	
abhorrence	afkeer (m)	
abide	afwachten	
abide	ondergaan, verdragen	
abide	tolereren, toelaten	
abide	verblijven, wonen	
Abidjan	Abidjan	
ability	vaardigheid, vermogen	
abjure	afzweren	
abjure	afzweren, herroepen, verzaken (aan)	
abjure	verzaken aan een eed	
Abkhaz	Abchazisch (n)	
Abkhazian	Abchazisch	
ablative	ablatief (m)	
ablative case	ablatief (m)	
able	competent, handig, bedreven	
able	gezond, abel	
able	in staat (om), de mogelijkheid hebben (om te)	
able	in staat stellen (tot)	
abloom	in bloei	
Abner	Abner	
aboard	aan boord	
abode	woonst, verblijf	
abolish	afschaffen	
abolish	vernietigen	
abolishment	afschaffing (f)	
abominable	abominabel, afstotelijk	
abominable snowman	Verschrikkelijke Sneeuwman (m)	
abominate	verachten, verafschuwen	
abomination	(een) afschuwelijk iets	
abomination	afschuw, walging	
aboriginal	inboorling (m) (1), inboorlinge (f) (1)	
abort	(doen) aborteren, beÃ«indigen, doen mislukken	
abort	(een) miskraam hebben, voortijdig bevallen	
abort	annuleren, aborteren, stoppen	
abortion	abortie (m)	
abortion	abortus (m)	
abound	overvloedig aanwezig zijn	
abound	wemelen (van)	
abound in	wemelen van	
abound with	wemelen van	
abounding	overvloedig	
about	om, rond	
about	om-	
about	omheen, bij, in de buurt	
about	ongeveer	
about	ongeveer	
about	op het punt staan	
about	rond	
about	rond	
about	rond	
about	rond-	
above	boven	
abovesaid	bovenvermeld	
abrade	schuren	
Abraham	Abraham	
Abraham	Abraham	
Abram	Abram	
abreact	afreageren	
abreast	op de hoogte, bekend, goed ingelicht, welingelicht	
abreast	zij aan zij	
abridge	beperken, verkorten	
abridge	beroven (van)	
abridge	verkorten, inkorten	
abridgment	1. bekorting, verkorting. 2. ingekorte versie, uitreksel, korte inhoud.	
abroad	in het buitenland	
abrogate	afschaffen	
abrogate	tenietdoen	
abrupt	abrupt, plots, bruusk	
abrupt	afgeknot	
abrupt	hortend	
abrupt	kortaf	
abrupt	steil	
abruptly	plots, abrupt	
abruptness	abruptheid (f)	
Absalom	Absalom	
abscess	abces (n), etterbuil (m)	
abscissa	abscis (f)	
abscissa	abscissen
abscond	heimelijk vertrekken (van/uit)	
abseil	abseilen	
abseil	het abseilen, gezekerde afdaling	
absence	afwezigheid (f)	
absent	afwezig	
absent	afwezig	
absent	afwezig zijn	
absent	afwezig, weg	
absent	zich verwijderen (van)	
absinth	alsem (m)	
absinthe	absint	
absolute	absolute (n)	
absolute	absoluut	
absolutive case	absolutief (m)	
absolve	vergeven, kwijtschelden, ontheffen	
absolve	vrijspreken, vergeven	
absorb	absorberen	
absorb	absorberen, (in zich) opnemen	
absorb	absorberen, opzuigen	
absorb	consumeren, opgebruiken	
absorb	ondergaan	
absorb	verdiepen, bezig houden	
absorbency	absorptie (f)	
absorbent	absorberend, wateropnemend	
absorbing	boeiend, grijpend	
absorption	absorptie (f)	
abstain	verhinderen	
abstain	zich onthouden (van stemming)	
abstain	zich onthouden (van)	
abstention	onthouding (f)	
abstersion	reiniging (f)	
abstract	(een) abstract iets	
abstract	abstract	
abstract	abstract kunstwerk	
abstract	abstract, theoretisch	
abstract	abstract, vaag, algemeen	
abstract	abstractie	
abstract	abstraheren	
abstract	abstraheren	
abstract	abstraheren	
abstract	afgezonderd, gescheiden	
abstract	afleiden	
abstract	afwezig, verstrooid	
abstract	afzonderen	
abstract	algemeen	
abstract	onttrekken	
abstract	onttrokken	
abstract	ontvreemden	
abstract	samenvatten	
abstract	samenvatting, korte inhoud	
abstract	terugtrekken	
abstract	uittreksel	
abstract	zich terugtrekken	
abstraction	abstractie (f)	
abstractionism	abstractionisme (n)	
abstractness	abstractheid	
abstruseness	traag van begrip	
absurd	absurd, absurde	
absurd	absurde (n)	
Abu Dhabi	Abu Dhabi	
abundant	overvloedig, rijkelijk voorhanden	
abundantly	overvloedig	
aburst	op springen	
abuse	beschimpen, uitschelden	
abuse	beschimpingen (f) ("plural")	
abuse	misbruik (n)	
abuse	misbruik (n)	
abuse	misbruik (n), verkeerd gebruik (n)	
abuse	misbruiken, onteren, verkrachten	
abuse	misbruiken, verkeerd gebruiken	
abuse	mishandelen	
abuse	mishandeling (f)	
abut	grenzen	
abysm	afgrond (m), ravijn (n)	
abyss	afgrond (m), ravijn (n)	
AC	wisselstroom (What flows "'through"' the wires and the resistance); frequently (but mistakenly) translated as wisselspanning (What can be measured "'over"' an open circuit or a resistance)	
academian	academicus (m)	
academic	academicus (m)	
academic	akademisch	
academician	academicus (m)	
academy	academie (f)	
accede	aanvaarden, ("throne") bestijgen	
accede	naderen	
accede	toestemmen, aanvaarden, inwilligen	
accede	toetreden	
accelerate	bespoedigen	
accelerate	versnellen	
accelerate	versnellen	
accelerate	versnellen, sneller gaan	
acceleration	versnelling (f), acceleratie (f)	
acceleration	versnelling (f), acceleratie (f)	
acceleration	versnelling (f), acceleratie (f)	
accelerator	versneller (m) (1,2,3), gaspedaal (n) (4)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n), accentteken (n)	
accent	accent (n), accentteken (n)	
accent	accent (n), klemtoon (m)	
accent	accent (n), klemtoon (m)	
accent	accent (n), tongval (m), uitspraak (f)	
accent	accentueren, beklemtonen	
accent	accentueren, beklemtonen	
accent	beklemtonen	
accentuate	beklemtonen	
accentuate	beklemtonen, accentueren	
accentuate	benadrukken, beklemtonen	
accept	accepteren, aanvaarden	
accept	accepteren, aanvaarden	
accept	ondergaan, aanvaarden	
accept	ontvangen	
acceptable	aanvaardbaar, aanvaardbare, acceptabel, acceptabele	
acceptor	" "	
access	aanval, uitval	
access	benadering	
access	bezoekrecht (n)	
access	instemming	
access	toegang hebben (tot)	
access	toegang hebben (tot), bereiken, verkrijgen	
access	toegang, toegangsrecht, toelating	
access	toegang, toegangsweg, passage	
access	toeval, aanval	
access	toevoeging, aanwinst	
accessory	accessoire (n), aanhangsel (n), toebehoren (n)	
accessory	meegeleverd, toegevoegd, medeplichtig	
accident	ongeval (n), ongeluk (n)	
accidentally	toevallig	
acclaim	juichen, applaudiseren	
acclaim	toejuichen, prijzen, loven	
acclaim	uitroepen	
acclaim	uitroepen (tot)	
acclamation	gejuich, acclamatie	
acclamation	zonder hoofdelijke stemming, met algemene instemming	
acclimatization	acclimatisatie (f), aanpassing (f)	
acclimatize	acclimatiseren	
acclimatize	acclimatiseren	
accompany	vergezellen, begeleiden	
accomplice	handlanger (m)	
accomplice	medeplichtige "m,f", handlanger (m)	
accomplishable	haalbaar	
accomplished	voldaan, voldane, voltrokken	
accomplisher	presteerder (m), presteerster (f)	
accomplishment	prestatie (f)	
accomplishment	voltooiing (f)	
according to	overeenkomstig	
according to	volgens	
accordion	accordeon (n), harmonica (m)	
account	rekenschap	
accountable	verantwoordelijk (1), aansprakelijk (1), verklaarbaar (2)	
accountancy	boekhouden (n)	
accountant	boekhouder	
accounting	boekhouding (f)	
accouter	voorzien), uitdossen)	
accrue	verhogen, groeien	
accumulate	opstapelen, vermeerderen	
accumulate	zich opstapelen, (zich) vermeerderen	
accumulation	accumulatie (f), opstapeling (f)	
accumulator	accu	
accurate	accuraat, precies, exact	
accusative	accusatief (m), vierde naamval (m), lijdend voorwerp (n)	
accusative	beschuldigend	
accusative case	accusatief (m), vierde naamval (m), lijdend voorwerp (n)	
accusatory	beschuldigend	
accuse	beschuldigen	
accustom	gewennen	
ace	aas (m)	
acetate	acetaat	
acetylene	acetyleen (n)	
Achab	Achab	
ache	pijn (m)	
achievable	haalbaar, haalbare	
achievement	prestatie f	
Achilles	Achilles	
Achilles heel	achilleshiel	
acid	zuur	
acid	zuur	
acid	zuur (n)	
acid	zuur (n)	
acid rain	zure regen	
acknowlegdment	bevestiging
acorn	eikel (m)	
acorn-shell	zeepok (m)	
acoustics	akoestiek (m)	
acrobat	acrobaat (m)	
acronym	acroniem (n), letterwoord (n)	
acrophobia	hoogtevrees (informal), acrofobie (formal)	
Acropolis	Akropolis	
act	akte	
act	handelen	
act	handeling (f)	
act	handeling (f), daad	
act	wet	
action	actie (f)	
action	actie) (f)	
action	actie) (f)	
action	actie) (f)	
action	beweging) (f)	
action	handeling) (f), actie) (f)	
action	mechanisme) (n)	
active voice	bedrijvende vorm, actief (n), activum (n)	
actual	huidig	
actual	werkelijk	
actually	eigenlijk, in werkelijkheid	
acupuncture	acupunctuur (f)	
AD	n.Chr ("na Christus")	
ad hoc	ad hoc	
ad infinitum	in oneindigheid, voor altijd	
Adam	Adam	
Adam's apple	adamsappel (m)	
add	optellen, bijtellen	
add	toevoegen	
adder	adder (m)	
adder	slang (f)	
addictive	verslavend	
addition	optelling (f), sommering (f)	
addition	toevoeging (f)	
addition	toevoeging (f)	
address	adres (n)	
address book	adresboek (n)	
Adelaide	Adelheid	
